babel-helper-call-delegate,6.24.1,MIT,Unknown
babel-helper-define-map,6.26.0,MIT,Unknown
babel-helper-explode-assignable-expression,6.24.1,MIT,Unknown
babel-helper-function-name,6.24.1,MIT,Unknown
babel-helper-get-function-arity,6.24.1,MIT,Unknown
babel-helper-hoist-variables,6.24.1,MIT,Unknown
babel-helper-optimise-call-expression,6.24.1,MIT,Unknown
babel-helper-regex,6.26.0,MIT,Unknown
babel-helper-remap-async-to-generator,6.24.1,MIT,Unknown
babel-helper-replace-supers,6.24.1,MIT,Unknown
babel-helpers,6.24.1,MIT,https://babeljs.io/
babel-loader,7.1.2,MIT,https://github.com/babel/babel-loader
babel-messages,6.23.0,MIT,https://babeljs.io/
babel-plugin-check-es2015-constants,6.22.0,MIT,Unknown
babel-plugin-syntax-async-functions,6.13.0,MIT,Unknown
babel-plugin-syntax-class-properties,6.13.0,MIT,Unknown
babel-plugin-syntax-dynamic-import,6.18.0,MIT,Unknown
babel-plugin-syntax-exponentiation-operator,6.13.0,MIT,Unknown
babel-plugin-syntax-flow,6.18.0,MIT,Unknown
babel-plugin-syntax-jsx,6.18.0,MIT,Unknown
babel-plugin-syntax-object-rest-spread,6.13.0,MIT,Unknown
babel-plugin-syntax-trailing-function-commas,6.22.0,MIT,Unknown
babel-plugin-transform-async-to-generator,6.24.1,MIT,Unknown
babel-plugin-transform-class-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-arrow-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoped-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoping,6.26.0,MIT,Unknown
babel-plugin-transform-es2015-classes,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-computed-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-destructuring,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-duplicate-keys,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-for-of,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-function-name,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-modules-amd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-commonjs,6.26.0,MIT,Unknown
babel-plugin-transform-es2015-modules-systemjs,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-umd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-object-super,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-parameters,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-shorthand-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-spread,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-sticky-regex,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-template-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-typeof-symbol,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-unicode-regex,6.24.1,MIT,Unknown
babel-plugin-transform-exponentiation-operator,6.24.1,MIT,Unknown
babel-plugin-transform-flow-strip-types,6.22.0,MIT,Unknown
babel-plugin-transform-object-rest-spread,6.26.0,MIT,Unknown
babel-plugin-transform-react-display-name,6.25.0,MIT,Unknown
babel-plugin-transform-react-jsx,6.24.1,MIT,Unknown
babel-plugin-transform-react-jsx-self,6.22.0,MIT,Unknown
babel-plugin-transform-react-jsx-source,6.22.0,MIT,Unknown
babel-plugin-transform-regenerator,6.26.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator
babel-plugin-transform-strict-mode,6.24.1,MIT,Unknown
babel-polyfill,6.26.0,MIT,https://babeljs.io/
babel-preset-env,1.6.1,MIT,https://babeljs.io/
babel-preset-es2015,6.24.1,MIT,https://babeljs.io/
babel-preset-es2016,6.24.1,MIT,https://babeljs.io/
babel-preset-es2017,6.24.1,MIT,https://babeljs.io/
babel-preset-flow,6.23.0,MIT,Unknown
babel-preset-latest,6.24.1,MIT,https://babeljs.io/
babel-preset-react,6.24.1,MIT,https://babeljs.io/
babel-register,6.26.0,MIT,Unknown
babel-runtime,6.26.0,MIT,Unknown
babel-source,5.8.35,MIT,https://github.com/babel/ruby-babel-transpiler
babel-template,6.26.0,MIT,https://babeljs.io/
babel-transpiler,0.7.0,MIT,https://github.com/babel/ruby-babel-transpiler
babel-traverse,6.26.0,MIT,https://babeljs.io/
babel-types,6.26.0,MIT,https://babeljs.io/
babylon,6.18.0,MIT,https://babeljs.io/
backo2,1.0.2,MIT,Unknown
balanced-match,0.1.0,MIT,https://github.com/juliangruber/balanced-match
balanced-match,0.2.1,MIT,https://github.com/juliangruber/balanced-match
balanced-match,0.4.2,MIT,https://github.com/juliangruber/balanced-match
balanced-match,1.0.0,MIT,https://github.com/juliangruber/balanced-match
